orthoPhrase , #recordings , phraseID
a nice cold our   , 3 , A.17.51    a nice cold our  
an ice cold our   , 2 , A.17.135    an ice cold our  
a nye scold our   , 2 , A.17.69    a nye scold our  
ah nye scold our   , 2 , A.18.109    ah nye scold our  
an eye scold our   , 2 , A.18.125    an eye scold our  
on aye scold our   , 2 , A.18.267    on aye scold our  
a nigh scold our   , 2 , A.18.65    a nigh scold our  
a nye skol dower   , 2 , A.18.71    a nye skol dower  
an aye skol dower   , 2 , A.19.119    an aye skol dower  
an eye skol dower   , 2 , A.19.127    an eye skol dower  
an ice coal dower   , 2 , A.19.133    an ice coal dower  
eh nice coal dower   , 2 , A.20.159    eh nice coal dower  
ah nice coal dower   , 2 , A.20.89    ah nice coal dower  
fourth wry to   , 2 , B.15.19    fourth wry to  
fourth wry too   , 2 , B.16.20    fourth wry too  
forth right ooh   , 2 , B.17.1    forth right ooh  
fourth rite ooh   , 2 , B.17.13    fourth rite ooh  
forth wright ooh   , 2 , B.18.6    forth wright ooh  
on i scold our   , 1 , A.16.279    on i scold our  
an i scold hour   , 1 , A.17.128    an i scold hour  
an i skol dower   , 1 , A.17.131    an i skol dower  
an ice-cold our   , 1 , A.17.141    an ice-cold our  
on i scold hour   , 1 , A.17.278    on i scold hour  
on i skol dower   , 1 , A.17.281    on i skol dower  
an aye scold our   , 1 , A.18.117    an aye scold our  
an ice cold hour   , 1 , A.18.134    an ice cold hour  
an ice-cold hour   , 1 , A.18.140    an ice-cold hour  
eh nye scold our   , 1 , A.18.179    eh nye scold our  
on eye scold our   , 1 , A.18.275    on eye scold our  
on ice cold hour   , 1 , A.18.284    on ice cold hour  
on ice-cold hour   , 1 , A.18.290    on ice-cold hour  
a nye scold hour   , 1 , A.18.68    a nye scold hour  
ah nice cold our   , 1 , A.18.91    ah nice cold our  
ah nigh scold our   , 1 , A.19.105    ah nigh scold our  
ah nye scold hour   , 1 , A.19.108    ah nye scold hour  
ah nye skol dower   , 1 , A.19.111    ah nye skol dower  
an aye scold hour   , 1 , A.19.116    an aye scold hour  
an ice kohl dower   , 1 , A.19.139    an ice kohl dower  
eh nice cold hour   , 1 , A.19.160    eh nice cold hour  
eh nigh scold our   , 1 , A.19.175    eh nigh scold our  
eh nye skol dower   , 1 , A.19.181    eh nye skol dower  
on aye skol dower   , 1 , A.19.269    on aye skol dower  
on eye scold hour   , 1 , A.19.274    on eye scold hour  
on ice coal dower   , 1 , A.19.283    on ice coal dower  
on ice kohl dower   , 1 , A.19.289    on ice kohl dower  
a nice coal dower   , 1 , A.19.49    a nice coal dower  
a nigh scold hour   , 1 , A.19.64    a nigh scold hour  
ah nice cold hour   , 1 , A.19.90    ah nice cold hour  
eh nice cole dower   , 1 , A.20.163    eh nice cole dower  
eh nigh scold hour   , 1 , A.20.174    eh nigh scold hour  
eh nigh skol dower   , 1 , A.20.177    eh nigh skol dower  
ah nice cole dower   , 1 , A.20.93    ah nice cole dower  
ah nice kohl dower   , 1 , A.20.95    ah nice kohl dower  
forth wry two   , 1 , B.15.10    forth wry two  
forth rye two   , 1 , B.15.5    forth rye two  
forth write ooh   , 1 , B.17.7    forth write ooh  
fourth right ooh   , 1 , B.18.12    fourth right ooh  
fourth wright ooh   , 1 , B.19.17    fourth wright ooh  
 ,  , A.16.129    an i scold our  
 ,  , A.16.130    an i skol dour  
 ,  , A.16.280    on i skol dour  
 ,  , A.17.285    on ice cold our  
 ,  , A.17.291    on ice-cold our  
 ,  , A.17.70    a nye skol dour  
 ,  , A.18.110    ah nye skol dour  
 ,  , A.18.118    an aye skol dour  
 ,  , A.18.126    an eye skol dour  
 ,  , A.18.132    an ice coal dour  
 ,  , A.18.136    an ice cole dour  
 ,  , A.18.138    an ice kohl dour  
 ,  , A.18.161    eh nice cold our  
 ,  , A.18.180    eh nye skol dour  
 ,  , A.18.268    on aye skol dour  
 ,  , A.18.276    on eye skol dour  
 ,  , A.18.282    on ice coal dour  
 ,  , A.18.286    on ice cole dour  
 ,  , A.18.288    on ice kohl dour  
 ,  , A.18.48    a nice coal dour  
 ,  , A.18.50    a nice cold hour  
 ,  , A.18.52    a nice cole dour  
 ,  , A.18.54    a nice kohl dour  
 ,  , A.18.66    a nigh skol dour  
 ,  , A.19.106    ah nigh skol dour  
 ,  , A.19.124    an eye scold hour  
 ,  , A.19.137    an ice cole dower  
 ,  , A.19.158    eh nice coal dour  
 ,  , A.19.162    eh nice cole dour  
 ,  , A.19.164    eh nice kohl dour  
 ,  , A.19.176    eh nigh skol dour  
 ,  , A.19.178    eh nye scold hour  
 ,  , A.19.277    on eye skol dower  
 ,  , A.19.287    on ice cole dower  
 ,  , A.19.53    a nice cole dower  
 ,  , A.19.55    a nice kohl dower  
 ,  , A.19.67    a nigh skol dower  
 ,  , A.19.88    ah nice coal dour  
 ,  , A.19.92    ah nice cole dour  
 ,  , A.19.94    ah nice kohl dour  
 ,  , A.20.104    ah nigh scold hour  
 ,  , A.20.107    ah nigh skol dower  
 ,  , A.20.165    eh nice kohl dower  
 ,  , B.15.14    fourth rye to  
 ,  , B.16.11    forthright ooh  
 ,  , B.16.21    fourth wry two  
 ,  , B.18.18    fourth write ooh  
