0, a nice cold hour , 7851662
1, a nights cold hour , 7672039
2, an ice cold hour , 931028
3, a nice cold dour , 7779968
4, a nice coal dower , 7747545
5, a nice cold thou are , 9515028
6, a nice coal dour , 7747572
7, a nice old hour , 8013781
8, a nice hold hour , 7856231
9, a nice gold hour , 7820004
10, a nice scored hour , 7804018
11, a nice scold hour , 7799035
12, ah nay skull dower , 237393
13, a nye scoldower , 7536334
14, a nice bold hour , 7803230
15, a nice gold dollar , 7752528
16, a nice odd hour , 7824875
17, a nice spoke hour , 7820643
18, a nice cold our , 8253272
19, a nice godfather , 7727322
20, an ice cold our , 1332638
21, an ice gold hour , 899370
22, an ice scold hour , 878401
23, an eye scold hour , 892949
24, an ice old hour , 1093147
25, an eye scol dagr , 820919
26, an eyes cold hour , 971178
27, in ice cold hour , 5503158
28, an ounce gold hour , 888447
29, and i scold our , 20242118
30, on ice coal dour , 2807012
31, an i scold hour , 10804076
32, an iced cold hour , 919228
33, in ice cold davar , 5431345
34, in icecube daver , 5366299
35, an ice cold bowl , 866609
36, i saw tower , 10039067
37, an ice cold dour , 859334
38, an ice coal dower , 826911
39, an ice cold dower , 859307
40, and ice cold dollar , 9899984
41, an ice coal dour , 826938
42, an ice cold bower , 859538
43, a nice cool hour , 7806852
44, can i score the hour   , 27231154
45, in ice co daver , 5378501
46, an icecold hour , 865982
47, an ice cold dollar , 863552
48, an ice core bower , 810836
49, a nice cool bowl , 7742433
50, an ice cove daver , 806704
51, a niceco daver , 7536297
52, an ice called dower , 930740
53, in ice code our , 5859810
54, in a ice cold hour , 13039455
55, an ice could hour , 1581049
56, in unschooled hour , 5438125
57, in the eyeschool tower , 21379638
58, in the ice cold hour  , 21509808
59, in ice called our , 5976201
60, in the ice cold hour , 21509808
61, in ice coal dour , 5399068
62, in ice cold our , 5904768
63, a nice cool dollar , 7739376
64, an ice cold hour  , 931028
65, an ice cold hour , 931028
66,  , 0
67, an ice cold thou are , 2594394
68, a light cold hour , 7725398
69, an nice cold hour , 1109534
70, in nice cold hour , 5681664
71, on ice col dour , 2787314
72, on the ice cold hour , 18917752
73, on ice called our , 3384145
74, on ice cold hour , 2911102
75, on ice cold dower , 2839381
76, on ice cold bauer , 2839355
77, on the ice cold dour , 18846058
78, all ice cold hour , 1695148
79, on ice cold thou art , 2914930
80, on ice old hour , 3073221
81, on eis kol dour , 2774362
82, a nice pollard , 7727057
83, on a nice cold hour , 10625905
84, on ice cold air , 2887631
85, all eyes cold hour , 1735298
86, on iced cold hour , 2899302
NO TESTS FAILED! :) 
