orthoPhrase,phraseID
forth right ooh  ,B.17.1    forth right ooh  
forth rye two  ,B.15.5    forth rye two  
forth wright ooh  ,B.18.6    forth wright ooh  
forth write ooh  ,B.17.7    forth write ooh  
forth wry two  ,B.15.10    forth wry two  
forthright ooh  ,B.16.11    forthright ooh  
fourth right ooh  ,B.18.12    fourth right ooh  
fourth rite ooh  ,B.17.13    fourth rite ooh  
fourth rye to  ,B.15.14    fourth rye to  
fourth wright ooh  ,B.19.17    fourth wright ooh  
fourth write ooh  ,B.18.18    fourth write ooh  
fourth wry to  ,B.15.19    fourth wry to  
fourth wry too  ,B.16.20    fourth wry too  
fourth wry two  ,B.16.21    fourth wry two  
a nice coal dour  ,A.18.48    a nice coal dour  
a nice coal dower  ,A.19.49    a nice coal dower  
a nice cold hour  ,A.18.50    a nice cold hour  
a nice cold our  ,A.17.51    a nice cold our  
a nice cole dour  ,A.18.52    a nice cole dour  
a nice cole dower  ,A.19.53    a nice cole dower  
a nice kohl dour  ,A.18.54    a nice kohl dour  
a nice kohl dower  ,A.19.55    a nice kohl dower  
a nigh scold hour  ,A.19.64    a nigh scold hour  
a nigh scold our  ,A.18.65    a nigh scold our  
a nigh skol dour  ,A.18.66    a nigh skol dour  
a nigh skol dower  ,A.19.67    a nigh skol dower  
a nye scold hour  ,A.18.68    a nye scold hour  
a nye scold our  ,A.17.69    a nye scold our  
a nye skol dour  ,A.17.70    a nye skol dour  
a nye skol dower  ,A.18.71    a nye skol dower  
ah nice coal dour  ,A.19.88    ah nice coal dour  
ah nice coal dower  ,A.20.89    ah nice coal dower  
ah nice cold hour  ,A.19.90    ah nice cold hour  
ah nice cold our  ,A.18.91    ah nice cold our  
ah nice cole dour  ,A.19.92    ah nice cole dour  
ah nice cole dower  ,A.20.93    ah nice cole dower  
ah nice kohl dour  ,A.19.94    ah nice kohl dour  
ah nice kohl dower  ,A.20.95    ah nice kohl dower  
ah nigh scold hour  ,A.20.104    ah nigh scold hour  
ah nigh scold our  ,A.19.105    ah nigh scold our  
ah nigh skol dour  ,A.19.106    ah nigh skol dour  
ah nigh skol dower  ,A.20.107    ah nigh skol dower  
ah nye scold hour  ,A.19.108    ah nye scold hour  
ah nye scold our  ,A.18.109    ah nye scold our  
ah nye skol dour  ,A.18.110    ah nye skol dour  
ah nye skol dower  ,A.19.111    ah nye skol dower  
an aye scold hour  ,A.19.116    an aye scold hour  
an aye scold our  ,A.18.117    an aye scold our  
an aye skol dour  ,A.18.118    an aye skol dour  
an aye skol dower  ,A.19.119    an aye skol dower  
an eye scold hour  ,A.19.124    an eye scold hour  
an eye scold our  ,A.18.125    an eye scold our  
an eye skol dour  ,A.18.126    an eye skol dour  
an eye skol dower  ,A.19.127    an eye skol dower  
an i scold hour  ,A.17.128    an i scold hour  
an i scold our  ,A.16.129    an i scold our  
an i skol dour  ,A.16.130    an i skol dour  
an i skol dower  ,A.17.131    an i skol dower  
an ice coal dour  ,A.18.132    an ice coal dour  
an ice coal dower  ,A.19.133    an ice coal dower  
an ice cold hour  ,A.18.134    an ice cold hour  
an ice cold our  ,A.17.135    an ice cold our  
an ice cole dour  ,A.18.136    an ice cole dour  
an ice cole dower  ,A.19.137    an ice cole dower  
an ice kohl dour  ,A.18.138    an ice kohl dour  
an ice kohl dower  ,A.19.139    an ice kohl dower  
an ice-cold hour  ,A.18.140    an ice-cold hour  
an ice-cold our  ,A.17.141    an ice-cold our  
eh nice coal dour  ,A.19.158    eh nice coal dour  
eh nice coal dower  ,A.20.159    eh nice coal dower  
eh nice cold hour  ,A.19.160    eh nice cold hour  
eh nice cold our  ,A.18.161    eh nice cold our  
eh nice cole dour  ,A.19.162    eh nice cole dour  
eh nice cole dower  ,A.20.163    eh nice cole dower  
eh nice kohl dour  ,A.19.164    eh nice kohl dour  
eh nice kohl dower  ,A.20.165    eh nice kohl dower  
eh nigh scold hour  ,A.20.174    eh nigh scold hour  
eh nigh scold our  ,A.19.175    eh nigh scold our  
eh nigh skol dour  ,A.19.176    eh nigh skol dour  
eh nigh skol dower  ,A.20.177    eh nigh skol dower  
eh nye scold hour  ,A.19.178    eh nye scold hour  
eh nye scold our  ,A.18.179    eh nye scold our  
eh nye skol dour  ,A.18.180    eh nye skol dour  
eh nye skol dower  ,A.19.181    eh nye skol dower  
on aye scold our  ,A.18.267    on aye scold our  
on aye skol dour  ,A.18.268    on aye skol dour  
on aye skol dower  ,A.19.269    on aye skol dower  
on eye scold hour  ,A.19.274    on eye scold hour  
on eye scold our  ,A.18.275    on eye scold our  
on eye skol dour  ,A.18.276    on eye skol dour  
on eye skol dower  ,A.19.277    on eye skol dower  
on i scold hour  ,A.17.278    on i scold hour  
on i scold our  ,A.16.279    on i scold our  
on i skol dour  ,A.16.280    on i skol dour  
on i skol dower  ,A.17.281    on i skol dower  
on ice coal dour  ,A.18.282    on ice coal dour  
on ice coal dower  ,A.19.283    on ice coal dower  
on ice cold hour  ,A.18.284    on ice cold hour  
on ice cold our  ,A.17.285    on ice cold our  
on ice cole dour  ,A.18.286    on ice cole dour  
on ice cole dower  ,A.19.287    on ice cole dower  
on ice kohl dour  ,A.18.288    on ice kohl dour  
on ice kohl dower  ,A.19.289    on ice kohl dower  
on ice-cold hour  ,A.18.290    on ice-cold hour  
on ice-cold our  ,A.17.291    on ice-cold our  
