#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
277, on i scold our ,&,13185760,&, on ,&,2774243,&, i ,&,9937877,&, scold ,&,217,&, our ,&,473423, \\ \hline
276, on i scold hour ,&,12784150,&, on ,&,2774243,&, i ,&,9937877,&, scold ,&,217,&, hour ,&,71813, \\ \hline
278, on i skol dour ,&,12712244,&, on ,&,2774243,&, i ,&,9937877,&, skol ,&,5,&, dour ,&,119, \\ \hline
279, on i skol dower ,&,12712217,&, on ,&,2774243,&, i ,&,9937877,&, skol ,&,5,&, dower ,&,92, \\ \hline
127, an i scold our ,&,11205686,&, an ,&,794169,&, i ,&,9937877,&, scold ,&,217,&, our ,&,473423, \\ \hline
126, an i scold hour ,&,10804076,&, an ,&,794169,&, i ,&,9937877,&, scold ,&,217,&, hour ,&,71813, \\ \hline
128, an i skol dour ,&,10732170,&, an ,&,794169,&, i ,&,9937877,&, skol ,&,5,&, dour ,&,119, \\ \hline
129, an i skol dower ,&,10732143,&, an ,&,794169,&, i ,&,9937877,&, skol ,&,5,&, dower ,&,92, \\ \hline
17, 'n' i scold our ,&,10411517,&, 'n' ,&,0,&, i ,&,9937877,&, scold ,&,217,&, our ,&,473423, \\ \hline
16, 'n' i scold hour ,&,10009907,&, 'n' ,&,0,&, i ,&,9937877,&, scold ,&,217,&, hour ,&,71813, \\ \hline
18, 'n' i skol dour ,&,9938001,&, 'n' ,&,0,&, i ,&,9937877,&, skol ,&,5,&, dour ,&,119, \\ \hline
19, 'n' i skol dower ,&,9937974,&, 'n' ,&,0,&, i ,&,9937877,&, skol ,&,5,&, dower ,&,92, \\ \hline
49, a nice cold our ,&,8253272,&, a ,&,7536297,&, nice ,&,190708,&, cold ,&,52844,&, our ,&,473423, \\ \hline
57, a niece cold our ,&,8064257,&, a ,&,7536297,&, niece ,&,1693,&, cold ,&,52844,&, our ,&,473423, \\ \hline
33, a gneiss cold our ,&,8062585,&, a ,&,7536297,&, gneiss ,&,21,&, cold ,&,52844,&, our ,&,473423, \\ \hline
43, a ne scold our ,&,8017040,&, a ,&,7536297,&, ne ,&,7103,&, scold ,&,217,&, our ,&,473423, \\ \hline
39, a knee scold our ,&,8016076,&, a ,&,7536297,&, knee ,&,6139,&, scold ,&,217,&, our ,&,473423, \\ \hline
